category,code,gt_velocity,tracking_velocity,velocity_error_cms,velocity_error_pct,epe
PLA C,C-16,6.2,6.2,0.32666666666666666,5.268817204301075,0.2475479999999998
PLA CUBE,CUBE-19,5.755,5.755,0.3250000000000002,5.647263249348395,0.2462850000000003
RESIN (a=6 r=3),D-2,3.125,3.125,0.3250000000000002,10.400000000000004,0.2462850000000001
C,C-22,4.578,4.578,0.3231999999999998,7.059851463521184,0.24492095999999952
PLA C,C-10,6.011666666666667,6.011666666666667,0.3183333333333335,5.295259218186862,0.24123300000000025
ABS CUBE,CUBE-3,4.072,4.072,0.3176000000000002,7.799607072691558,0.24067728000000016
RESIN (a=6 r=3),D-1,3.5083333333333333,3.5083333333333333,0.3083333333333333,8.788598574821851,0.23365499999999995
PLA HC,HC-1,4.8260000000000005,4.8260000000000005,0.30720000000000025,6.365520099461257,0.23279616000000009
PLA CUBE,CUBE-22,6.103333333333333,6.103333333333333,0.3033333333333334,4.9699617695248515,0.22986600000000004
RESIN (a=6 r=3),C-4,9.239999999999998,9.239999999999998,0.2999999999999998,3.2467532467532454,0.22733999999999988
WSP,WSP-18,4.293333333333334,4.293333333333334,0.2911111111111113,6.780538302277438,0.2206040000000001
PLA C,C-25,3.3120000000000003,3.312,0.2903999999999999,8.768115942028981,0.22006511999999995
HC,HC-7,3.35,3.35,0.29000000000000004,8.656716417910449,0.219762
PLA C,C-26,6.88,6.88,0.2879999999999999,4.1860465116279055,0.2182463999999996
PA 6,HC-3,5.54,5.54,0.28666666666666646,5.17448856799037,0.21723599999999946
RESIN (a=6 r=3),D-8,3.075,3.075,0.2849999999999999,9.268292682926827,0.21597299999999997
PLA CUBE,CUBE-27,5.9125,5.9125,0.2787499999999996,4.714587737843545,0.21123674999999942
ABS CUBE,CUBE-11,3.245,3.245,0.2749999999999999,8.474576271186438,0.20839499999999989
ABS CUBE,CUBE-5,3.975000000000001,3.975,0.2749999999999999,6.918238993710688,0.20839499999999989
PLA CUBE,CUBE-23,5.454999999999999,5.454999999999999,0.2749999999999999,5.041246562786434,0.20839499999999989
RESIN (a=6 r=3),D-7,3.3200000000000003,3.3200000000000003,0.27199999999999996,8.192771084337348,0.2061216
PLA CUBE,CUBE-13,3.5725,3.5725,0.2712500000000002,7.592722183345003,0.20555325000000035
ABS C,C-17,3.856666666666667,3.856666666666667,0.271111111111111,7.02967444540478,0.20544800000000008
ABS CUBE,CUBE-2,3.2350000000000003,3.235,0.265,8.191653786707882,0.20081700000000002
HC,HC-6,4.304,4.304,0.26480000000000004,6.152416356877325,0.20066543999999994
BSP,BSP-17,5.783333333333334,5.783333333333334,0.2622222222222221,4.534101825168104,0.19871199999999986
ABS C,C-9,3.256,3.2560000000000002,0.26080000000000014,8.009828009828015,0.19763424000000002
ABS C,C-15,3.235,3.235,0.255,7.882534775888718,0.19323900000000016
RESIN (a=9 r=4.5),D-2,3.926666666666667,3.926666666666667,0.25333333333333324,6.451612903225803,0.191976
ABS HC,HC-1,2.7920000000000003,2.7920000000000003,0.25040000000000007,8.968481375358166,0.18975311999999994
RESIN (a=6 r=3),CUBE-3,9.75,9.75,0.25,2.5641025641025643,0.1894499999999999
ABS CUBE,CUBE-4,3.5316666666666667,3.5316666666666667,0.24888888888888894,7.0473493786377235,0.18860800000000003
PA 6,C-3,6.8566666666666665,6.8566666666666665,0.24888888888888885,3.6298817047480143,0.1886079999999999
ABS C,C-3,4.516,4.516,0.24880000000000013,5.509300265721881,0.18854063999999998
