category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,dim_a,dim_b,dim_c,corey_sf,sphericity,flatness,elongation,powers_roundness
C,C-29,0,Cylinder,2.83,1.0266666666666666,0.0,1476.0484037103697,3.01,0.0,1,6.4579133601893925,21.708143436917663,2.753811222834901,0.2974743512545655,2.83,1.0266666666666666,1.0266666666666666,0.6023119962873176,0.7725434560034412,1.0,0.36277974087161363,0.5086612851276091
C,C-30,0,Cylinder,4.763333333333334,2.8766666666666665,0.0,1455.4758977433785,5.6625,0.7545141924885616,4,51.26268746658205,78.68808205970174,1.6552762654928763,0.6514587046229465,4.763333333333334,2.8766666666666665,2.8766666666666665,0.7771221424928606,0.8480915670755945,1.0,0.6039188243526941,0.7144728188277695
C,C-49,0,Cylinder,3.813333333333333,2.29,0.0,1430.647883703563,5.51,0.8343860018001259,2,26.15380631409068,50.27581480660849,1.6644842135894078,0.5201961662585867,3.813333333333333,2.29,2.29,0.7749351427858177,0.8475167212411702,1.0,0.6005244755244756,0.7117931568549235
HC,HC-11,1,Half Cylinder,4.663333333333333,2.31,0.0,1138.4927130648057,3.7466666666666666,0.5208006656421761,3,19.7271699085955,43.29127777777778,2.017885475263234,0.4556741045101949,4.663333333333333,2.31,2.31,0.7038137709366835,0.8155681241070707,1.0,0.4953538241601144,0.6260519127213964
HC,HC-12,1,Half Cylinder,3.6533333333333338,1.846666666666667,0.0,1153.6296910982069,3.714,0.1879627622695513,5,9.67892210175872,26.83982222222223,1.97726862709724,0.360604530726532,3.6533333333333338,1.846666666666667,1.846666666666667,0.710967265459349,0.818318719419919,1.0,0.5054744525547445,0.6345504265566119
HC,HC-14,1,Half Cylinder,3.706666666666667,1.81,0.0,1130.6910809482663,3.37,0.1555634918610402,2,9.765748275965798,27.15751111111112,2.046751334437696,0.3595833451993038,3.706666666666667,1.81,1.81,0.6987913512043388,0.8135754635976387,1.0,0.4883093525179856,0.6201023276790569
HC,HC-15,1,Half Cylinder,3.763333333333333,1.8733333333333333,0.0,1111.9996023887884,3.872,0.6690814599135143,5,10.41886284481094,28.262633333333333,2.0078250044460253,0.3686314042477768,3.763333333333333,1.8733333333333333,1.8733333333333333,0.7055392625634668,0.8162409534043046,1.0,0.49778565101860056,0.6280992127930202
HC,HC-16,1,Half Cylinder,3.773333333333333,1.8633333333333333,0.0,1121.506455629814,2.52,0.0,1,10.418394136640316,28.3,2.023958519578044,0.3681281275092865,3.773333333333333,1.8633333333333333,1.8633333333333333,0.702720609073735,0.8151387599502304,1.0,0.49381625441696114,0.6247557386852176
HC,HC-21,1,Half Cylinder,3.693333333333334,1.8033333333333328,0.0,1128.311395460916,4.416,0.3986602563587197,5,9.659906157781815,26.961333333333336,2.046924071679292,0.3582741166484781,3.693333333333334,1.8033333333333328,1.8033333333333328,0.6987611523363618,0.8135633269811593,1.0,0.4882671480144402,0.620066596930696
HC,HC-22,1,Half Cylinder,3.6633333333333336,1.87,0.0,1108.7013105227345,4.41,0.098994949366117,2,9.854948694276416,27.12087777777778,1.9579547479066453,0.3633579051945672,3.6633333333333336,1.87,1.87,0.714467674730466,0.819627701380652,1.0,0.5104640582347588,0.6387194077227614
HC,HC-24,1,Half Cylinder,3.713333333333333,1.8033333333333328,0.0,1138.1724235527815,4.66,0.5060961700441263,4,9.764809347005858,27.18159999999999,2.058008498060226,0.3592301452769735,3.713333333333333,1.8033333333333328,1.8033333333333328,0.69687684916952,0.8128023542543138,1.0,0.48563734290843796,0.6178381425454811
HC,HC-26,1,Half Cylinder,2.6733333333333333,1.3,0.0,1108.7353552697994,3.5000000000000004,0.0,1,3.648458957649223,14.097377777777778,2.054829618242378,0.25878572805731,2.6733333333333333,1.3,1.3,0.6973408702182943,0.8129904234797353,1.0,0.486284289276808,0.6183867267308749
HC,HC-31,1,Half Cylinder,2.6666666666666665,1.3333333333333333,0.0,1099.4040757852938,3.74,0.0,1,3.723369070921236,14.22222222222222,1.9985011241568824,0.2617809813239001,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.7071067811865475,0.816847007168854,1.0,0.5,0.6299605249474366
HC,HC-41,1,Half Cylinder,3.713333333333333,1.8133333333333328,0.0,1152.6605978153025,3.07,1.3859292911256331,2,9.818958012516058,27.25586666666666,2.0466654418519203,0.3602379588452106,3.713333333333333,1.8133333333333328,1.8133333333333328,0.698806368826949,0.8135814983332529,1.0,0.48833034111310586,0.6201200964471374
HC,HC-42,1,Half Cylinder,4.736666666666667,2.3833333333333333,0.0,1135.8782099378006,4.535,0.1343502884254437,2,20.9985989554191,45.01412222222223,1.9865790577380125,0.4664787724391184,4.736666666666667,2.3833333333333333,2.3833333333333333,0.7093425011621404,0.817702925418117,1.0,0.5031667839549612,0.6326176568558378
