category,code,shape_enc,shape_name,a,b,c,density,velocity_ms,velocity_cms,date,view,repeat,volume,surface_area,aspect_ratio,vol_surf_ratio
RESIN (a=9 r=4.5),CUBE-3,2,Cube,9.25,9.25,9.25,1150.2624979394604,0.1043,10.43,09.01.2025,ANG,FIRST,791.453125,513.375,0.9998919035779916,1.5416636636695134
RESIN (a=9 r=4.5),CUBE-3,2,Cube,9.25,9.25,9.25,1150.2624979394604,0.0846,8.46,09.01.2025,MAK,FIRST,791.453125,513.375,0.9998919035779916,1.5416636636695134
RESIN (a=9 r=4.5),CUBE-4,2,Cube,9.25,9.25,9.25,1162.8999677036825,0.0721,7.21,09.01.2025,ANG,FIRST,791.453125,513.375,0.9998919035779916,1.5416636636695134
RESIN (a=9 r=4.5),CUBE-4,2,Cube,9.25,9.25,9.25,1162.8999677036825,0.1121,11.21,09.01.2025,ANG,SECOND,791.453125,513.375,0.9998919035779916,1.5416636636695134
RESIN (a=9 r=4.5),CUBE-4,2,Cube,9.25,9.25,9.25,1162.8999677036825,0.081,8.1,09.01.2025,ANG,THIRD,791.453125,513.375,0.9998919035779916,1.5416636636695134
RESIN (a=9 r=4.5),CUBE-4,2,Cube,9.25,9.25,9.25,1162.8999677036825,0.0934,9.34,09.01.2025,MAK,SECOND,791.453125,513.375,0.9998919035779916,1.5416636636695134
RESIN (a=9 r=4.5),CUBE-4,2,Cube,9.25,9.25,9.25,1162.8999677036825,0.0908,9.08,09.01.2025,MAK,THIRD,791.453125,513.375,0.9998919035779916,1.5416636636695134
RESIN (a=9 r=4.5),D-3,6,Elliptic Cylinder,9.07,9.07,0.0,1173.5840247246467,0.0421,4.21,09.01.2025,ANG,FIRST,323.0535068603737,246.79470000000003,0.9998897585712712,1.3089916350259492
RESIN (a=9 r=4.5),D-3,6,Elliptic Cylinder,9.07,9.07,0.0,1173.5840247246467,0.0358,3.58,09.01.2025,ANG,THIRD,323.0535068603737,246.79470000000003,0.9998897585712712,1.3089916350259492
RESIN (a=9 r=4.5),D-3,6,Elliptic Cylinder,9.07,9.07,0.0,1173.5840247246467,0.0368,3.68,09.01.2025,MAK,FIRST,323.0535068603737,246.79470000000003,0.9998897585712712,1.3089916350259492
RESIN (a=9 r=4.5),D-3,6,Elliptic Cylinder,9.07,9.07,0.0,1173.5840247246467,0.035,3.5000000000000004,09.01.2025,MAK,SECOND,323.0535068603737,246.79470000000003,0.9998897585712712,1.3089916350259492
