category,code,shape_name,velocity_mean,predicted,error,abs_error,pct_error
C,C-29,Cylinder,3.01,4.935264999999998,-1.9252649999999978,1.9252649999999978,63.96229235880392
C,C-30,Cylinder,5.6625,6.093526666666669,-0.43102666666666956,0.43102666666666956,7.611949963208294
C,C-49,Cylinder,5.51,6.082100000000002,-0.5721000000000025,0.5721000000000025,10.382940108892967
HC,HC-11,Half Cylinder,3.7466666666666666,4.103911666666669,-0.35724500000000203,0.35724500000000203,9.535008896797208
HC,HC-12,Half Cylinder,3.714,3.59779666666667,0.11620333333332988,0.11620333333332988,3.1287919583556785
HC,HC-14,Half Cylinder,3.37,3.609713333333337,-0.239713333333337,0.239713333333337,7.113155291790416
HC,HC-15,Half Cylinder,3.872,3.72410666666667,0.1478933333333301,0.1478933333333301,3.8195592286500544
HC,HC-16,Half Cylinder,2.52,3.702636666666669,-1.182636666666669,1.182636666666669,46.93002645502655
HC,HC-21,Half Cylinder,4.416,3.623533333333337,0.7924666666666633,0.7924666666666633,17.945350241545814
HC,HC-22,Half Cylinder,4.41,3.686805000000003,0.7231949999999969,0.7231949999999969,16.398979591836664
HC,HC-24,Half Cylinder,4.66,3.6036800000000033,1.0563199999999968,1.0563199999999968,22.667811158798216
HC,HC-26,Half Cylinder,3.5000000000000004,3.5588483333333345,-0.05884833333333406,0.05884833333333406,1.6813809523809726
HC,HC-31,Half Cylinder,3.74,3.5609533333333347,0.17904666666666547,0.17904666666666547,4.787344028520467
HC,HC-41,Half Cylinder,3.07,3.59885166666667,-0.5288516666666703,0.5288516666666703,17.22643865363747
HC,HC-42,Half Cylinder,4.535,4.1619850000000005,0.37301499999999965,0.37301499999999965,8.225248070562285
HC,HC-44,Half Cylinder,4.359999999999999,3.652555000000003,0.7074449999999963,0.7074449999999963,16.225802752293497
HC,HC-46,Half Cylinder,3.96,4.074441388888889,-0.11444138888888933,0.11444138888888933,2.8899340628507404
HC,HC-47,Half Cylinder,3.94,3.5852600000000034,0.3547399999999965,0.3547399999999965,9.003553299492296
HC,HC-6,Half Cylinder,4.304,4.1509350000000005,0.15306499999999978,0.15306499999999978,3.556342936802969
HC,HC-7,Half Cylinder,3.35,4.068056666666667,-0.718056666666667,0.718056666666667,21.43452736318409
PA 6,BSP-1,Box Shape Prism,5.216666666666667,5.741031944444445,-0.5243652777777781,0.5243652777777781,10.051730564430251
PA 6,BSP-2,Box Shape Prism,4.78,5.6942205555555585,-0.9142205555555583,0.9142205555555583,19.125953045095358
PA 6,BSP-3,Box Shape Prism,6.432,7.7025005555555515,-1.270500555555551,1.270500555555551,19.752807144831326
PA 6,BSP-4,Box Shape Prism,8.096666666666666,8.400651666666661,-0.3039849999999955,0.3039849999999955,3.7544462741868534
PA 6,C-1,Cylinder,5.416,5.221493333333335,0.1945066666666655,0.1945066666666655,3.5913343180698942
PA 6,C-2,Cylinder,5.11,7.17580833333333,-2.0658083333333295,2.0658083333333295,40.426777560339126
PA 6,C-3,Cylinder,6.8566666666666665,7.5301666666666645,-0.673499999999998,0.673499999999998,9.822557122022333
PA 6,HC-1,Half Cylinder,3.98,3.747488333333333,0.2325116666666669,0.2325116666666669,5.842001675041882
PA 6,HC-2,Half Cylinder,4.73,6.517976666666666,-1.7879766666666654,1.7879766666666654,37.80077519379842
PA 6,HC-3,Half Cylinder,5.54,6.088257500000003,-0.5482575000000027,0.5482575000000027,9.89634476534301
PA 6,HC-4,Half Cylinder,6.075,8.141223333333338,-2.0662233333333377,2.0662233333333377,34.01190672153642
PLA C,C-1,Cylinder,6.84,5.179600000000001,1.6603999999999992,1.6603999999999992,24.27485380116958
PLA C,C-10,Cylinder,6.011666666666667,4.958668333333332,1.0529983333333348,1.0529983333333348,17.51591350152484
PLA C,C-11,Cylinder,6.35,4.964748333333333,1.385251666666667,1.385251666666667,21.814986876640425
PLA C,C-12,Cylinder,6.1883333333333335,4.751938333333333,1.436395,1.436395,23.211338540263938
PLA C,C-13,Cylinder,6.364,5.393188333333338,0.9708116666666617,0.9708116666666617,15.254740205321523
PLA C,C-14,Cylinder,6.756666666666667,5.1442216666666685,1.6124449999999984,1.6124449999999984,23.864504193389223
PLA C,C-15,Cylinder,5.91,4.935673333333332,0.9743266666666681,0.9743266666666681,16.486068809926703
PLA C,C-16,Cylinder,6.2,4.018623333333332,2.181376666666668,2.181376666666668,35.18349462365593
PLA C,C-17,Cylinder,6.9350000000000005,4.977848333333336,1.9571516666666646,1.9571516666666646,28.221365056476778
PLA C,C-18,Cylinder,6.801666666666667,5.1383277777777785,1.6633388888888883,1.6633388888888883,24.454872171853296
PLA C,C-19,Cylinder,3.114,3.5210316666666666,-0.4070316666666667,0.4070316666666667,13.071023335474202
PLA C,C-2,Cylinder,6.2275,5.003015000000001,1.2244849999999987,1.2244849999999987,19.66254516258529
PLA C,C-20,Cylinder,7.46,4.94262777777778,2.51737222222222,2.51737222222222,33.74493595472145
PLA C,C-21,Cylinder,6.045,5.052988333333334,0.9920116666666656,0.9920116666666656,16.410449407223584
PLA C,C-22,Cylinder,6.066,4.173319999999999,1.8926800000000013,1.8926800000000013,31.201450708869128
PLA C,C-23,Cylinder,7.386,4.762149444444445,2.6238505555555554,2.6238505555555554,35.524648734843694
PLA C,C-24,Cylinder,6.480000000000001,5.162469444444445,1.3175305555555559,1.3175305555555559,20.33226165980796
