Klasor,experiment,category,particle_code,Video Suresi (sn),Boyut Tipi,a_v,b_v,c_v,material_v,Kaynak,velocity_ms,view,particle_code_clean,a_mm,b_mm,c_mm,volume_mm3,surface_area_mm2,density_kg_m3,weight_g,matched,L,I,S,d_eq,sphericity,aspect_ratio,CSF,flatness,elongation,density_ratio,density_diff,category_encoded,view_encoded
IC CAPTURE 10.11.23(MAK),SECOND,BSP,BSP-16,3.22,"a, b, c (mm)",3.88,2.86,2.73,Plexiglass,Part 1 (2023-2024),0.0885,MAK,BSP-16,3.88,2.86,2.73,30.294264,58.994,1200.0,,False,3.88,2.86,2.73,3.117358875993251,0.7966175766098043,1.4212454212454213,0.8195279460506597,0.9545454545454546,0.7371134020618556,1.2,200.0,4,1
IC CAPTURE 10.11.23(MAK),SECOND,C,C-11,2.4,"a, b, c (mm)",2.87,3.84,2.88,Plexiglass,Part 1 (2023-2024),0.1188,MAK,C-11,2.87,3.84,2.88,31.739903999999996,60.691199999999995,1200.0,,False,3.84,2.88,2.87,3.16617709636871,0.7987829859710737,1.337979094076655,0.8630183711324094,0.9965277777777779,0.75,1.2,200.0,5,1
IC CAPTURE 10.11.23(MAK),SECOND,HC,HC-6,4.06,"a, b, c (mm)",4.8,2.31,2.87,Plexiglass,Part 1 (2023-2024),0.0702,MAK,HC-6,4.8,2.31,2.87,31.82256,62.9874,1200.0,,False,4.8,2.87,2.31,3.16892313165357,0.7709990660197725,2.0779220779220777,0.6223725258843049,0.8048780487804877,0.5979166666666668,1.2,200.0,6,1
IC CAPTURE 10.11.23(MAK),SECOND,HC,HC-12,4.76,"a, b, c (mm)",3.66,1.85,2.31,Plexiglass,Part 1 (2023-2024),0.0599,MAK,HC-12,3.66,1.85,2.31,15.641010000000001,38.998200000000004,1200.0,,False,3.66,2.31,1.85,2.5008535751972514,0.7755612311980347,1.9783783783783784,0.6362461915678758,0.8008658008658008,0.6311475409836066,1.2,200.0,6,1
IC CAPTURE 10.11.23(MAK),SECOND,WSP,WSP-6,4.04,"a, b, c (mm)",3.62,3.46,2.86,Plexiglass,Part 1 (2023-2024),0.0705,MAK,WSP-6,3.62,3.46,2.86,35.822072,65.548,1200.0,,False,3.62,3.46,2.86,3.2964783981342127,0.8017244857700975,1.2657342657342658,0.8081159868980856,0.8265895953757225,0.9558011049723757,1.2,200.0,14,1
IC CAPTURE 10.11.23(MAK),THIRD,BSP,BSP-6,3.26,"a, b, c (mm)",4.86,3.83,2.3,Plexiglass,Part 1 (2023-2024),0.0874,MAK,BSP-6,4.86,3.83,2.3,42.81174,77.2016,1200.0,,False,4.86,3.83,2.3,3.4982777921662565,0.7665957540389693,2.11304347826087,0.5331020031462301,0.6005221932114881,0.7880658436213991,1.2,200.0,4,1
IC CAPTURE 10.11.23(MAK),THIRD,BSP,BSP-16,3.24,"a, b, c (mm)",3.8,2.85,2.78,Plexiglass,Part 1 (2023-2024),0.088,MAK,BSP-16,3.8,2.85,2.78,30.1074,58.634,1200.0,,False,3.8,2.85,2.78,3.1109360540200033,0.7982092755414314,1.3669064748201438,0.8447546043932419,0.975438596491228,0.7500000000000001,1.2,200.0,4,1
IC CAPTURE 10.11.23(MAK),THIRD,C,C-11,2.5,"a, b, c (mm)",3.813333333333333,2.873333333333334,,Plexiglass,Part 1 (2023-2024),0.114,MAK,C-11,3.813333333333333,2.873333333333334,3.3433333333333337,36.63282903703705,66.62546666666668,1200.0,,False,3.813333333333333,3.3433333333333337,2.873333333333334,3.321162710195934,0.8006158184784268,1.3271461716937352,0.8047181321415556,0.8594217347956132,0.8767482517482519,1.2,200.0,5,1
IC CAPTURE 10.11.23(MAK),THIRD,HC,HC-6,4.26,"a, b, c (mm)",4.8,2.32,2.88,Plexiglass,Part 1 (2023-2024),0.0669,MAK,HC-6,4.8,2.32,2.88,32.07167999999999,63.283199999999994,1200.0,,False,4.8,2.88,2.32,3.1771708550525894,0.7713950235003296,2.0689655172413794,0.6239806502223061,0.8055555555555556,0.6,1.2,200.0,6,1
IC CAPTURE 10.11.23(MAK),THIRD,HC,HC-12,2.12,"a, b, c (mm)",3.65,1.84,2.31,Plexiglass,Part 1 (2023-2024),0.1344,MAK,HC-12,3.65,1.84,2.31,15.51396,38.7958,1200.0,,False,3.65,2.31,1.84,2.494063782351182,0.7753798742365616,1.9836956521739129,0.6336732889733286,0.7965367965367965,0.6328767123287672,1.2,200.0,6,1
