date,view,repeat,category,code,velocity_ms,cat_excel,a,b,c,material,measured_density,density,d_eq,volume,surface_area,sphericity,L,I,S,aspect_ratio,CSF,delta_rho,cat_enc,mat_enc,view_enc
06.11.2024,ANG,FIRST,ABS C,C-14,0.038,ABS C,2.79,2.91,2.83,Plexiglass,1131.052140242979,1131.052140242979,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,131.05214024297902,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-14,0.038,PLA C,2.79,2.91,2.83,Plexiglass,1131.052140242979,1131.052140242979,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,131.05214024297902,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-17,0.0388,ABS C,4.78,1.02,4.71,Plexiglass,1131.5340601175835,1131.5340601175835,2.8423855840032393,22.964076000000002,64.3872,0.6068069814178432,4.78,4.71,1.02,4.686274509803922,0.21496896718006778,131.53406011758352,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-17,0.0388,PLA C,4.78,1.02,4.71,Plexiglass,1131.5340601175835,1131.5340601175835,2.8423855840032393,22.964076000000002,64.3872,0.6068069814178432,4.78,4.71,1.02,4.686274509803922,0.21496896718006778,131.53406011758352,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-7,0.0349,ABS C,2.78,2.34,2.85,Plexiglass,1164.0331017352394,1164.0331017352394,2.6466824510631226,18.53982,42.1944,0.8028473614449325,2.85,2.78,2.34,1.217948717948718,0.8313253607089217,164.03310173523937,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-7,0.0349,PLA C,2.78,2.34,2.85,Plexiglass,1164.0331017352394,1164.0331017352394,2.6466824510631226,18.53982,42.1944,0.8028473614449325,2.85,2.78,2.34,1.217948717948718,0.8313253607089217,164.03310173523937,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-8,0.0482,C,1.8,2.34,1.83,Plexiglass,1184.9343500495427,1184.9343500495427,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,184.93435004954267,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-8,0.0482,ABS C,1.8,2.34,1.83,Plexiglass,1184.9343500495427,1184.9343500495427,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,184.93435004954267,0,0,0
06.11.2024,ANG,FIRST,ABS C,C-8,0.0482,PLA C,1.8,2.34,1.83,Plexiglass,1184.9343500495427,1184.9343500495427,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,184.93435004954267,0,0,0
06.11.2024,ANG,SECOND,ABS C,C-8,0.048600000000000004,ABS C,2.32,1.83,2.33,Plexiglass,1184.9343500495427,1184.9343500495427,2.1466685741702545,9.892247999999999,27.830199999999998,0.8007515614635695,2.33,2.32,1.83,1.273224043715847,0.7870985942872109,184.93435004954267,0,0,0
06.11.2024,ANG,SECOND,ABS C,C-8,0.048600000000000004,PLA C,2.32,1.83,2.33,Plexiglass,1184.9343500495427,1184.9343500495427,2.1466685741702545,9.892247999999999,27.830199999999998,0.8007515614635695,2.33,2.32,1.83,1.273224043715847,0.7870985942872109,184.93435004954267,0,0,0
06.11.2024,MAK,FIRST,ABS C,C-13,0.0296,C,2.78,2.88,2.8,Plexiglass,1113.5798390396526,1113.5798390396526,2.819671004323257,22.417919999999995,47.7088,0.8059025094604069,2.88,2.8,2.78,1.0359712230215827,0.9789703450605317,113.5798390396526,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-13,0.0296,ABS C,2.78,2.88,2.8,Plexiglass,1113.5798390396526,1113.5798390396526,2.819671004323257,22.417919999999995,47.7088,0.8059025094604069,2.88,2.8,2.78,1.0359712230215827,0.9789703450605317,113.5798390396526,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-13,0.0296,PLA C,2.78,2.88,2.8,Plexiglass,1113.5798390396526,1113.5798390396526,2.819671004323257,22.417919999999995,47.7088,0.8059025094604069,2.88,2.8,2.78,1.0359712230215827,0.9789703450605317,113.5798390396526,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-14,0.035,C,2.79,2.91,2.83,Plexiglass,1131.052140242979,1131.052140242979,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,131.05214024297902,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-14,0.035,ABS C,2.79,2.91,2.83,Plexiglass,1131.052140242979,1131.052140242979,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,131.05214024297902,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-14,0.035,PLA C,2.79,2.91,2.83,Plexiglass,1131.052140242979,1131.052140242979,2.84289755023306,22.976487000000002,48.4998,0.8058729812943641,2.91,2.83,2.79,1.043010752688172,0.9722198659285329,131.05214024297902,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-17,0.0345,C,4.78,1.02,4.71,Plexiglass,1131.5340601175835,1131.5340601175835,2.8423855840032393,22.964076000000002,64.3872,0.6068069814178432,4.78,4.71,1.02,4.686274509803922,0.21496896718006778,131.53406011758352,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-17,0.0345,ABS C,4.78,1.02,4.71,Plexiglass,1131.5340601175835,1131.5340601175835,2.8423855840032393,22.964076000000002,64.3872,0.6068069814178432,4.78,4.71,1.02,4.686274509803922,0.21496896718006778,131.53406011758352,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-17,0.0345,PLA C,4.78,1.02,4.71,Plexiglass,1131.5340601175835,1131.5340601175835,2.8423855840032393,22.964076000000002,64.3872,0.6068069814178432,4.78,4.71,1.02,4.686274509803922,0.21496896718006778,131.53406011758352,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-7,0.0348,ABS C,2.78,2.34,2.85,Plexiglass,1164.0331017352394,1164.0331017352394,2.6466824510631226,18.53982,42.1944,0.8028473614449325,2.85,2.78,2.34,1.217948717948718,0.8313253607089217,164.03310173523937,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-7,0.0348,PLA C,2.78,2.34,2.85,Plexiglass,1164.0331017352394,1164.0331017352394,2.6466824510631226,18.53982,42.1944,0.8028473614449325,2.85,2.78,2.34,1.217948717948718,0.8313253607089217,164.03310173523937,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-8,0.0392,C,1.8,2.34,1.83,Plexiglass,1184.9343500495427,1184.9343500495427,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,184.93435004954267,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-8,0.0392,ABS C,1.8,2.34,1.83,Plexiglass,1184.9343500495427,1184.9343500495427,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,184.93435004954267,0,0,1
06.11.2024,MAK,FIRST,ABS C,C-8,0.0392,PLA C,1.8,2.34,1.83,Plexiglass,1184.9343500495427,1184.9343500495427,1.9753610406560558,7.70796,23.5764,0.8003862173052022,2.34,1.83,1.8,1.2999999999999998,0.869839312029283,184.93435004954267,0,0,1
06.11.2024,MAK,SECOND,ABS C,C-17,0.0424,ABS C,0.99,4.76,0.99,Plexiglass,1131.5340601175835,1131.5340601175835,1.6709332992982509,4.6652759999999995,20.8098,0.6488352647814275,4.76,0.99,0.99,4.808080808080808,0.45605174407879523,131.53406011758352,0,0,1
