category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,stokes_factor,equiv_diameter,buoyancy_factor,size_squared,stokes_velocity_est
BSP,BSP-18,4,Box Shape Prism,3.8233333333333337,2.81,2.33,1118.5454286106954,4.52,0.0,1,25.03251033333333,52.39846666666666,1.3601328115735802,0.4777245251860071,1732.8825865454257,2.925284666412582,0.11854542861069535,14.61787777777778,1.7328825865454258
BSP,BSP-21,4,Box Shape Prism,3.83,3.79,2.853333333333333,1134.7687412127857,6.338333333333334,0.6465111496847266,6,41.41813066666666,72.5162,1.0102875230809814,0.5711490607285811,1976.9091879762323,3.459899611359642,0.1347687412127857,14.6689,1.9769091879762322
BSP,BSP-23,4,Box Shape Prism,4.826666666666667,4.816666666666666,1.0266666666666666,1256.8918015399502,3.93,0.0,1,23.86840296296296,66.29786666666666,1.0018681242648586,0.3600122319279911,5984.734087289108,2.8792173704091075,0.25689180153995017,23.296711111111115,5.984734087289108
BSP,BSP-24,4,Box Shape Prism,3.773333333333333,3.76,0.9866666666666668,1328.7077582055404,3.7266666666666666,0.8140229316999206,3,13.998563555555554,43.24124444444444,1.0032792696977757,0.3237242593533792,4680.155670564181,2.410059831940046,0.3287077582055404,14.238044444444443,4.68015567056418
BSP,BSP-25,4,Box Shape Prism,3.85,2.813333333333333,2.3266666666666667,1150.7524510145404,5.4433333333333325,0.4240597442185082,6,25.200902222222226,52.66937777777778,1.3679971574085044,0.4784644288777963,2234.528205163025,2.931829405831977,0.15075245101454038,14.822500000000002,2.2345282051630253
BSP,BSP-27,4,Box Shape Prism,2.8800000000000003,2.78,1.7966666666666669,1112.2827155715129,4.7125,0.2376797565352727,4,14.384832000000005,36.35106666666668,1.0355987055016185,0.3957087813439309,931.3177560363566,2.432026286650317,0.11228271557151288,8.294400000000001,0.9313177560363566
BSP,BSP-28,4,Box Shape Prism,3.84,2.8666666666666667,2.7833333333333337,1142.337418186882,5.425,0.2706165799305975,4,30.63893333333333,59.349777777777774,1.339067767058003,0.5162347399734536,2098.8506336164855,3.1291367792198543,0.1423374181868819,14.7456,2.0988506336164856
BSP,BSP-29,4,Box Shape Prism,2.8166666666666664,2.3200000000000003,1.7933333333333332,1109.325234437399,4.826666666666667,0.0665832811847943,3,11.718835555555556,31.492844444444444,1.2135573746948152,0.3720992391458507,867.3438946573765,2.271406268662699,0.10932523443739911,7.93361111111111,0.8673438946573765
BSP,BSP-31,4,Box Shape Prism,2.3233333333333337,1.7966666666666666,1.7466666666666668,1056.0917720281186,4.460000000000001,1.216223663640862,2,7.291033037037038,22.741044444444448,1.292416094937883,0.3205970797765339,302.7765297467587,1.9390828056257923,0.05609177202811861,5.397877777777779,0.30277652974675867
BSP,BSP-46,4,Box Shape Prism,4.78,3.8166666666666655,1.0266666666666666,1217.2877642172923,4.140000000000001,0.3535533905932729,2,18.73016444444444,54.13915555555555,1.2520736924823197,0.3459569750446064,4964.677751942382,2.6557092736060497,0.21728776421729232,22.8484,4.964677751942382
BSP,BSP-47,4,Box Shape Prism,4.76,4.7,2.353333333333333,1179.5146604238705,5.140000000000001,0.0424264068711922,2,52.64877333333333,89.26906666666665,1.012550521165709,0.5897696204252116,4067.371370019888,3.747969824558513,0.17951466042387051,22.6576,4.067371370019888
BSP,BSP-49,4,Box Shape Prism,2.853333333333333,2.303333333333333,1.78,1094.159573751902,3.8,0.3394112549695426,2,11.69847644444444,31.50208888888888,1.2382467814262983,0.3713437906265276,766.6012159185954,2.270090136241442,0.09415957375190191,8.14151111111111,0.7666012159185953
BSP,BSP-50,4,Box Shape Prism,2.833333333333333,2.856666666666667,2.78,1115.505426669715,5.335,0.1909188309203675,2,22.50101111111111,47.82417777777778,0.99148489443602,0.4704846308290427,927.2518974318787,2.823150374542299,0.115505426669715,8.027777777777777,0.9272518974318786
BSP,BSP-6,4,Box Shape Prism,4.8566666666666665,3.8333333333333335,2.31,1116.1289547491092,5.595,1.5250934397603315,6,43.00578333333333,77.38224444444444,1.266626097539772,0.5557505845365319,2739.1581717799077,3.503555117832415,0.1161289547491092,23.58721111111111,2.739158171779908
BSP,BSP-8,4,Box Shape Prism,4.863333333333333,4.846666666666667,2.333333333333333,1127.2953490918535,4.826666666666667,0.6013595707505892,3,54.99889629629629,92.45524444444445,1.003231795365468,0.5948640530099002,3010.7910111132865,3.8029270222111324,0.1272953490918535,23.65201111111111,3.0107910111132865
BSP,BSP-9,4,Box Shape Prism,4.87,4.846666666666667,2.333333333333333,1125.752165862433,5.014,0.5186810195100644,5,55.07428888888888,92.55097777777776,1.0046070274358798,0.5950633385828359,2982.4515425427376,3.804663915360685,0.125752165862433,23.716900000000003,2.9824515425427376
C,C-11,0,Cylinder,3.813333333333333,2.873333333333333,0.0,1411.3665063431592,6.06,0.0,1,32.81598405057665,57.26411313159378,1.326684448567784,0.5730536841019829,5981.890622728009,3.3101325921747873,0.41136650634315924,14.54151111111111,5.981890622728009
C,C-13,0,Cylinder,2.8200000000000003,2.883333333333333,0.0,1396.3115951266675,6.23,0.0,1,18.00872435576872,38.035890575542346,0.9776955969028086,0.4734541673432239,3151.628329085311,2.8514908381406383,0.39631159512666747,7.952400000000002,3.151628329085311
